latency,type,condition
11303,baseline_start,None
41364,baseline_end,None
41364,condition_start,S
44731,task_condition_start,S
44731,buffer_start,S
47256,buffer_end,S
47256,task_block_start,S
47256,pre_rec_start,S
89100,solve,S
103890,solve,S
114832,post_rec_start,S
128419,condition_start,M
130343,audio_start,M
130343,task_condition_start,M
130343,buffer_start,M
132868,buffer_end,M
132868,task_block_start,M
132868,pre_rec_start,M
200445,post_rec_start,M
204773,solve,M
213311,condition_start,C
214994,audio_start,C
214994,task_condition_start,C
214994,buffer_start,C
217519,buffer_end,C
217519,task_block_start,C
217519,pre_rec_start,C
285095,post_rec_start,C
